customer_id,age,gender,annual_income,education,marital_status,city,state,country,postal_code,signup_date,purchase_frequency,avg_purchase_value,total_spent,days_since_last_purchase,favorite_payment_method,electronics_score,clothing_score,home_decor_score,beauty_score,sports_score,books_score,food_score,website_visits_per_month,avg_session_duration,mobile_app_usage,desktop_usage,items_viewed_per_visit,cart_abandonment_rate,email_engagement_rate,support_tickets,satisfaction_score
ec84fdda,60,Female,85891,High School,Divorced,Dariustown,MD,US,23028,2025-03-16,5,15.0,75.0,109,Apple Pay,83,58,79,75,92,81,61,5,8.12,49,66,12,60,29,0,7.0
bd66c34d,57,Non-binary,25981,Master Degree,Widowed,Marshallshire,WV,US,76453,2022-10-31,6,75.27,451.62,106,Bank Transfer,54,57,52,42,54,65,52,4,13.57,83,33,5,53,50,0,5.2
00da5470,39,Male,69836,Master Degree,Divorced,Stoutshire,SD,US,25173,2024-04-03,8,15.0,120.0,63,Debit Card,38,43,39,60,39,57,22,7,25.24,47,40,19,32,55,1,7.6
347528f9,64,Female,72534,Master Degree,Married,Erikaton,WY,US,83192,2021-05-27,3,15.0,45.0,61,Bank Transfer,76,73,46,50,63,59,70,3,17.42,68,38,2,64,0,3,6.3
96ea9ed7,48,Non-binary,81128,PhD,Divorced,East Matthew,WI,US,64237,2022-11-21,6,15.0,90.0,96,Google Pay,43,50,38,40,37,35,28,8,6.73,72,20,16,29,36,2,7.8
fa6ab058,66,Non-binary,79213,Associate Degree,Married,Youngbury,ME,US,61975,2024-01-23,8,64.31,514.48,95,Apple Pay,54,50,55,35,23,29,35,4,7.99,17,76,14,51,49,2,6.3
b351ca42,63,Non-binary,29656,Associate Degree,Divorced,Wilkersontown,MT,US,07481,2025-01-07,2,35.78,71.56,7,Google Pay,26,58,49,24,18,54,36,2,8.91,50,53,1,51,39,3,4.8
e894289a,21,Female,85537,Master Degree,Single,North Johnmouth,CA,US,15031,2020-08-31,14,41.96,587.46,9,Apple Pay,35,67,71,34,40,40,67,4,11.01,86,2,7,26,68,2,7.5
c4cdaa22,53,Female,97945,PhD,Married,Port Bonniemouth,DC,US,06312,2020-12-04,17,35.57,604.63,67,Apple Pay,56,47,65,55,47,64,67,9,20.19,0,89,12,29,85,0,7.8
2eb599da,34,Non-binary,49677,High School,Married,Port Dianaview,DE,US,48738,2023-12-06,9,15.0,135.0,23,Google Pay,14,4,30,32,42,34,22,9,7.35,2,95,4,61,23,1,7.3
4a499c7b,22,Non-binary,84743,Associate Degree,Divorced,Lake Mollystad,RI,US,57509,2020-11-09,16,15.0,240.0,102,Bank Transfer,49,64,44,71,51,46,54,8,20.16,74,8,10,30,68,2,7.6
d740e34a,68,Female,65877,PhD,Divorced,New Devinstad,MO,US,41708,2022-10-24,9,29.11,262.01,16,Apple Pay,63,69,61,76,78,75,72,5,17.43,0,94,2,55,18,1,5.9
87a7765a,56,Female,45276,High School,Single,Melissaburgh,WY,US,47882,2023-12-29,2,38.89,77.77,87,Google Pay,38,54,73,39,48,67,70,4,1.86,63,29,1,64,14,1,6.1
5b2cd5ed,45,Non-binary,67636,Master Degree,Single,South Wesley,VI,US,07764,2022-08-22,12,20.82,249.84,45,Apple Pay,41,27,31,42,47,52,39,2,11.86,68,40,19,44,70,1,7.1
2d07a5be,47,Male,71066,Bachelor Degree,Divorced,Meganshire,AZ,US,04219,2023-06-18,10,51.47,514.69,15,Apple Pay,87,55,89,84,81,58,67,5,9.04,60,53,14,37,65,1,7.4
e8169997,66,Male,54912,Associate Degree,Divorced,Andersonstad,NY,US,74117,2022-03-13,6,15.0,90.0,17,PayPal,59,35,29,68,66,43,38,2,22.08,21,75,6,64,62,0,5.7
5743ad9d,23,Male,66449,High School,Widowed,Kochfort,AK,US,12303,2024-08-13,3,15.0,45.0,83,Debit Card,49,63,48,57,61,61,46,5,19.63,39,56,13,54,20,3,7.0
4e0b4511,56,Non-binary,101192,Associate Degree,Single,East Theresafurt,MN,US,44945,2023-09-23,9,25.19,226.74,99,Apple Pay,53,38,21,39,40,58,58,5,20.56,100,0,9,45,90,1,7.9
b15ada54,52,Female,61023,Bachelor Degree,Divorced,West Markville,MT,US,77008,2022-03-07,3,36.77,110.32,98,Google Pay,53,44,36,39,60,48,38,6,3.64,88,5,17,53,66,3,6.6
6aaf4ab5,65,Female,89344,Master Degree,Widowed,Vaughnchester,NY,US,80648,2021-07-21,8,40.21,321.71,102,Bank Transfer,40,11,17,41,46,30,15,6,3.46,91,5,10,33,45,2,7.1
d3dc2e6a,47,Male,31340,Associate Degree,Widowed,Jeffreyport,WI,US,38381,2020-05-23,5,62.66,313.3,84,Debit Card,34,20,25,43,29,9,25,2,9.14,92,16,13,65,0,1,5.9
4b35f214,58,Non-binary,91449,Master Degree,Single,North Craig,MA,US,94526,2021-10-24,8,74.95,599.63,9,Debit Card,58,54,45,67,46,80,46,3,19.74,43,45,10,49,2,0,7.2
0c1d9fc3,38,Male,64194,Bachelor Degree,Divorced,North Kennethville,MA,US,37799,2023-03-05,8,53.37,427.0,56,Debit Card,48,41,51,26,25,26,20,5,15.76,62,48,12,60,54,2,7.5
5475bf9e,49,Non-binary,96905,Associate Degree,Married,Caldwellburgh,DC,US,63081,2022-09-09,11,52.62,578.84,82,PayPal,45,29,58,47,63,39,33,8,19.86,45,63,15,47,62,1,8.1
39655a85,58,Female,52993,Bachelor Degree,Widowed,Robertside,PW,US,62213,2020-07-14,9,57.59,518.29,39,Debit Card,54,30,39,48,60,46,60,4,4.71,28,60,6,33,21,0,6.1
97322e26,35,Male,136081,PhD,Single,South Davidchester,NH,US,74413,2021-11-16,13,80.29,1043.83,96,Apple Pay,71,67,91,75,67,93,65,7,29.86,56,47,28,57,77,1,8.8
4029276c,75,Non-binary,87506,High School,Divorced,Millerside,DC,US,86161,2020-11-07,5,38.65,193.23,57,Credit Card,60,45,42,55,57,63,48,3,12.23,27,80,14,68,0,1,6.4
797d805c,50,Female,36635,Associate Degree,Divorced,East Jamieville,PA,US,04901,2020-08-26,5,21.17,105.85,62,PayPal,68,54,76,51,56,61,72,5,11.09,100,4,4,57,38,2,5.7
9094e727,68,Female,76866,High School,Divorced,Peterston,MI,US,84821,2022-04-08,10,15.0,150.0,16,Apple Pay,39,60,47,63,46,29,37,6,19.83,56,59,17,28,41,1,6.3
b4f74298,57,Male,70066,High School,Widowed,North Joseph,TX,US,79795,2021-05-06,8,33.29,266.3,39,Bank Transfer,33,34,28,28,45,57,33,3,11.1,16,84,4,41,12,0,6.8
f983c12c,47,Female,40965,PhD,Widowed,Port Tinafort,WV,US,42474,2021-12-25,12,31.25,374.94,96,Bank Transfer,35,15,40,48,35,26,11,4,9.56,65,34,12,36,40,2,6.3
07a7c7e9,33,Female,103327,High School,Divorced,New Arthurland,GU,US,88085,2022-03-22,18,67.44,1213.93,116,Bank Transfer,25,47,39,34,29,51,27,10,30.54,76,43,21,16,56,0,9.1
9fc1570b,19,Male,23906,Bachelor Degree,Married,East James,NC,US,33585,2024-07-27,10,39.55,395.5,101,Google Pay,17,48,26,50,26,27,34,7,5.0,86,12,5,39,55,3,5.4
1c4a40f3,72,Male,205343,Associate Degree,Divorced,Newmanmouth,OK,US,13000,2020-10-18,6,25.58,153.47,23,Credit Card,43,50,42,64,57,79,62,1,13.77,0,89,11,50,45,0,6.7
32fab673,65,Female,14127,PhD,Single,Brianchester,IN,US,10464,2021-02-03,2,24.83,49.66,9,Apple Pay,51,60,65,34,56,60,42,2,1.85,85,11,3,54,5,0,4.2
747fb22b,47,Non-binary,44060,High School,Single,Kathleenville,DC,US,11943,2022-08-04,9,21.94,197.47,109,Apple Pay,33,58,55,31,32,47,65,3,7.64,8,83,1,60,51,1,6.5
29db4b5e,58,Non-binary,44880,PhD,Divorced,Evansland,MN,US,33491,2023-02-20,3,15.0,45.0,77,Google Pay,47,50,56,45,24,25,53,2,4.22,68,30,5,28,65,1,5.8
4a2e4eda,74,Male,32974,Master Degree,Divorced,Ramirezfurt,MN,US,15428,2020-08-20,4,15.79,63.16,59,Apple Pay,32,46,53,46,42,49,35,5,3.09,73,23,13,72,6,0,4.2
60e29679,71,Male,57287,High School,Widowed,North Kaylastad,GA,US,85304,2024-09-25,7,51.96,363.74,96,Bank Transfer,31,58,26,60,58,58,44,3,11.04,70,33,4,44,52,1,5.5
27cc5ee5,73,Non-binary,84131,High School,Divorced,West Larry,NH,US,27615,2021-11-28,5,64.93,324.67,40,PayPal,42,38,19,15,36,20,12,0,16.31,42,65,3,33,60,0,6.0
58661c1f,66,Female,68912,PhD,Married,South Brittany,MS,US,01084,2020-09-30,9,15.0,135.0,55,Google Pay,88,88,84,50,87,66,50,6,7.53,17,81,1,83,11,1,6.1
d371b840,18,Male,53604,Associate Degree,Widowed,Lake Dennisville,IA,US,40527,2024-11-19,14,23.01,322.19,19,Bank Transfer,41,45,73,53,64,66,69,4,17.97,35,64,7,40,54,3,6.4
e5a01cbc,67,Non-binary,67533,PhD,Single,Ortizfort,MT,US,93580,2020-04-27,8,106.6,852.8,7,Debit Card,49,13,15,27,38,37,41,3,18.43,63,37,5,57,3,2,5.9
1a3faa13,66,Non-binary,108914,High School,Divorced,West Nancy,AZ,US,59448,2022-11-12,3,18.79,56.37,15,PayPal,80,74,76,62,45,57,68,5,16.41,89,0,6,78,26,2,7.1
29a7f804,37,Male,138766,Associate Degree,Divorced,East Sydneychester,PW,US,08271,2023-08-27,10,26.64,266.4,42,Credit Card,31,27,11,8,24,34,14,6,32.43,51,41,20,55,70,0,9.0
1e67f66b,73,Non-binary,59664,High School,Widowed,Reidstad,PR,US,08801,2025-03-03,2,63.45,126.91,59,Credit Card,75,91,82,91,80,95,81,5,4.36,30,61,1,58,18,5,5.4
6f3caec6,28,Non-binary,110251,Master Degree,Divorced,Erikview,CO,US,86299,2024-10-12,6,64.55,387.28,56,Credit Card,42,52,40,48,20,40,34,7,19.07,71,25,3,50,46,0,8.5
2893b6c2,22,Non-binary,100356,High School,Married,South Christopher,AS,US,13926,2020-12-03,15,38.73,581.02,45,PayPal,55,61,52,55,62,58,57,7,27.91,70,31,19,44,40,0,8.1
96b96046,67,Non-binary,87820,Master Degree,Widowed,Bellchester,MD,US,18828,2021-01-16,4,70.43,281.72,73,Google Pay,64,68,67,48,68,48,37,3,10.58,48,60,15,45,31,0,6.7
8996daee,68,Female,17816,PhD,Single,Diazburgh,WV,US,62237,2023-04-21,2,42.23,84.45,65,Credit Card,48,47,21,22,42,37,23,4,-2.63,56,44,1,75,0,1,4.4
d8343955,50,Female,75600,Master Degree,Single,West Hollybury,AR,US,32545,2022-10-02,7,36.58,256.07,117,Google Pay,53,61,79,71,73,50,44,4,17.15,45,46,19,48,24,1,7.5
eb348045,59,Male,47849,High School,Married,South Spencerstad,AR,US,65985,2021-04-22,7,87.26,610.84,57,Apple Pay,66,72,43,56,56,51,57,3,16.73,40,68,3,33,31,3,5.6
14a90d35,68,Non-binary,70174,Bachelor Degree,Single,New Nathanhaven,TX,US,07404,2023-06-05,3,27.84,83.51,13,Google Pay,67,61,59,81,52,64,48,3,15.13,52,42,9,76,15,1,6.0
852492a4,59,Non-binary,23971,Master Degree,Married,Cynthiatown,MA,US,00692,2021-12-09,8,27.01,216.1,91,Credit Card,54,43,40,27,52,24,46,6,6.08,40,50,3,62,38,0,4.9
84d6893b,29,Male,167923,Bachelor Degree,Widowed,Jonesshire,AR,US,57515,2024-03-13,6,15.47,92.84,29,Debit Card,13,27,15,41,43,42,11,10,18.69,75,27,11,72,53,1,8.8
a0f3bb7a,42,Male,40027,Associate Degree,Married,Margaretton,IL,US,43465,2020-08-12,12,49.98,599.8,89,Google Pay,61,79,53,77,74,66,79,4,12.09,65,35,1,60,66,1,6.7
c6d5f480,33,Female,56868,Master Degree,Married,Port Richard,TX,US,83115,2023-03-19,9,75.14,676.24,87,Google Pay,57,46,52,60,61,54,38,6,19.27,90,12,12,52,54,2,7.4
fac12507,21,Non-binary,68621,Master Degree,Divorced,Stephensonton,RI,US,81657,2022-03-02,9,55.83,502.5,120,Credit Card,78,52,63,50,55,62,73,5,16.78,84,12,12,62,31,0,6.9
2bb6f5cc,32,Female,71944,Bachelor Degree,Single,Morenoshire,IN,US,21423,2022-12-13,5,96.88,484.41,7,Apple Pay,55,47,56,37,55,46,33,2,7.62,24,78,14,64,24,0,7.8
24918d36,68,Male,96293,Associate Degree,Single,North Alisha,AL,US,43982,2023-09-01,5,86.64,433.21,118,Apple Pay,52,74,72,83,44,49,45,6,14.57,19,81,12,62,89,1,7.1
06ca7af6,51,Female,125120,High School,Divorced,Jeffreyshire,GU,US,23484,2023-12-11,11,32.77,360.5,39,Credit Card,18,29,43,42,32,7,10,7,18.87,88,25,1,49,56,1,8.3
fc9dd92e,19,Non-binary,188234,PhD,Married,Seanview,IL,US,33208,2021-03-31,4,46.54,186.18,19,PayPal,27,66,49,42,63,53,38,3,14.5,58,39,1,55,16,0,8.1
a55db17e,22,Non-binary,62394,PhD,Single,West Joseville,CA,US,45302,2023-02-01,1,15.0,15.0,112,Apple Pay,42,26,25,18,3,24,6,1,9.54,44,58,3,60,56,1,7.1
648624fe,65,Female,55267,Associate Degree,Single,Donnaport,IA,US,13072,2023-04-20,4,46.46,185.83,70,PayPal,63,81,82,92,63,60,56,4,5.93,75,19,1,30,0,3,5.7
53b208c7,30,Male,47027,Associate Degree,Single,Scottview,IN,US,35701,2023-07-04,6,39.08,234.46,120,PayPal,57,66,62,48,34,44,50,4,12.4,26,74,5,54,44,1,6.9
a33f3ea1,35,Male,56994,Bachelor Degree,Widowed,Port James,AZ,US,55993,2020-04-15,10,39.81,398.14,52,Bank Transfer,52,49,39,59,59,51,61,4,18.46,18,76,6,65,29,2,7.3
e0f99903,45,Non-binary,150258,Associate Degree,Divorced,Natalieview,MS,US,86325,2023-06-23,9,23.47,211.22,14,Credit Card,38,39,48,58,47,30,48,13,18.67,26,65,7,28,44,0,8.6
240f16d9,45,Female,115284,High School,Single,Jacobsland,ID,US,58397,2021-07-06,9,87.7,789.33,82,Apple Pay,55,33,24,32,61,51,25,8,19.71,9,97,7,43,43,1,8.4
4317d472,41,Female,34576,PhD,Single,West Tracy,NV,US,23777,2021-11-18,5,20.29,101.45,20,Bank Transfer,51,51,56,32,64,36,61,8,3.82,36,73,2,36,34,2,6.4
fb080f97,33,Male,53660,High School,Married,Jenniferview,NE,US,49846,2022-06-23,5,74.41,372.07,67,Apple Pay,93,65,74,74,86,71,97,5,13.07,33,67,21,55,55,1,7.1
777f2d6a,26,Male,47860,Master Degree,Married,Erintown,SD,US,65692,2021-04-11,9,15.0,135.0,57,Credit Card,71,73,55,86,85,69,70,6,16.33,95,9,9,67,37,1,6.7
9a5e1ffe,50,Male,38068,High School,Married,West Jeffrey,VI,US,40751,2020-10-31,12,15.0,180.0,18,Debit Card,81,51,73,85,86,73,79,5,12.89,87,13,14,86,40,1,6.2
64a982e5,74,Male,159298,High School,Divorced,South Marvinburgh,MD,US,83666,2023-01-16,9,26.51,238.57,92,Bank Transfer,63,56,56,66,34,38,50,4,18.31,68,39,12,40,47,3,6.9
5d90175a,40,Male,71377,PhD,Married,Lake Natalie,ME,US,17400,2020-12-20,5,72.87,364.33,17,Apple Pay,35,39,65,41,51,42,42,4,15.44,29,68,13,42,36,1,7.9
9be8ad1a,75,Female,54742,High School,Divorced,Kelseyton,PA,US,06787,2024-03-04,3,24.49,73.48,82,Google Pay,25,57,36,56,51,22,49,4,6.27,72,43,1,69,0,3,5.0
1d761f61,28,Non-binary,13230,PhD,Divorced,Port Jose,NC,US,26934,2020-07-20,7,30.91,216.34,119,Google Pay,3,7,4,38,18,15,38,3,10.16,51,48,1,45,19,1,5.7
07742ef7,74,Non-binary,39687,PhD,Divorced,North Kimberly,CA,US,95339,2021-09-04,0,52.3,0.0,39,Apple Pay,40,34,44,19,18,25,43,1,10.38,45,54,1,49,37,0,4.6
c7cd3ae3,56,Male,30548,Bachelor Degree,Divorced,Lisaburgh,DE,US,53031,2021-02-27,8,15.0,120.0,111,PayPal,33,48,57,60,31,45,40,5,12.64,44,57,2,59,28,3,5.2
48fbb809,27,Male,66281,High School,Divorced,Knappville,FM,US,54408,2023-02-14,8,29.7,237.57,111,Google Pay,41,36,46,62,46,38,36,5,19.17,55,54,5,64,41,0,7.5
e2027a7d,74,Female,97292,Master Degree,Single,West Tara,AR,US,66945,2024-10-08,8,81.14,649.12,51,Google Pay,44,42,66,51,32,32,47,3,14.1,59,55,4,62,26,0,6.6
80a093cc,52,Male,27927,High School,Widowed,Port Shawn,OH,US,81733,2024-07-10,1,15.0,15.0,113,PayPal,69,71,69,48,71,49,82,3,7.46,57,50,5,67,20,2,5.5
64e1758b,22,Female,85621,PhD,Widowed,Port Robertshire,DE,US,59549,2020-12-27,7,62.53,437.74,71,PayPal,91,91,59,60,58,77,75,3,10.4,79,27,3,50,45,1,7.7
53f3c4d2,66,Male,65295,Associate Degree,Widowed,East Robert,UT,US,98598,2022-06-21,5,35.73,178.63,6,Credit Card,10,23,32,35,31,11,40,4,13.34,83,10,7,52,15,0,6.2
fb2d6d59,38,Male,49633,Master Degree,Divorced,East Josephburgh,LA,US,90074,2021-12-12,11,26.63,292.89,44,Google Pay,85,87,84,89,72,83,54,4,11.37,29,66,10,48,56,0,7.3
02afd91d,37,Non-binary,164687,High School,Widowed,North Juliaborough,RI,US,58574,2023-10-15,6,49.37,296.22,84,Google Pay,50,39,73,66,46,69,76,5,12.06,74,21,11,37,62,1,8.8
c5f160ac,20,Non-binary,26928,High School,Married,Candiceport,NM,US,75562,2025-03-03,5,39.35,196.74,57,PayPal,35,52,39,52,58,65,56,7,18.58,78,6,5,68,0,1,5.8
a70c2d67,31,Non-binary,125751,Bachelor Degree,Widowed,Angelhaven,GU,US,49647,2022-04-30,12,59.0,708.02,49,PayPal,40,45,32,45,33,27,50,4,19.72,45,49,10,46,76,0,9.0
54ba6919,37,Male,48129,Bachelor Degree,Divorced,North Stephen,MA,US,05466,2021-04-28,8,34.21,273.72,27,Bank Transfer,76,65,75,67,80,62,63,8,5.35,19,89,14,31,55,0,7.2
eabbd2b7,70,Female,27913,Associate Degree,Divorced,Jamestown,NJ,US,20990,2025-01-14,1,18.37,18.37,37,Bank Transfer,27,33,21,35,18,17,39,1,-2.22,34,70,13,70,67,2,4.3
29d54a66,24,Non-binary,54472,PhD,Married,East Emilyshire,PR,US,07629,2023-12-01,8,61.68,493.47,7,Bank Transfer,90,71,97,71,60,63,83,1,14.35,38,59,13,69,30,1,6.7
ab4bf5c0,18,Non-binary,100561,Associate Degree,Widowed,Hayesport,UT,US,77069,2021-08-12,12,65.13,781.61,120,Apple Pay,42,48,50,48,33,35,66,5,24.05,14,71,1,31,34,0,8.1
db033fbd,74,Male,84094,High School,Widowed,Port Juanberg,MH,US,71098,2020-11-09,10,15.0,150.0,64,Debit Card,77,61,59,78,95,97,65,5,22.41,92,6,10,59,24,2,6.3
e597ef30,59,Non-binary,82886,PhD,Widowed,Lake Johnburgh,WV,US,67889,2020-04-15,13,15.0,195.0,18,Google Pay,46,41,36,50,39,58,45,8,22.97,61,28,16,55,48,1,7.0
9f0f9b3d,54,Non-binary,75139,Associate Degree,Married,Maryview,OR,US,71850,2021-11-06,4,19.83,79.3,110,Bank Transfer,82,84,89,77,62,82,63,8,22.01,12,86,8,49,39,2,7.0
df9b0d7a,33,Male,47126,Bachelor Degree,Widowed,Jasonburgh,GA,US,47978,2023-12-15,9,15.0,135.0,58,PayPal,40,58,57,21,37,44,36,4,21.89,0,97,2,67,24,1,7.0
