transaction_id,customer_id,transaction_date,transaction_amount,item_category,item_count
T000068,5b1c6718,2023-08-28,20.77,Food,1
T000069,39618324,2024-11-09,24.25,Food,1
T000070,310bb930,2023-08-10,61.97,Electronics,1
T000071,3063461e,2023-03-02,72.26,Food,1
T000072,c16ace61,2024-02-05,32.72,Electronics,3
T000073,60cfe858,2023-10-07,46.32,Sports,3
T000074,121c3d6f,2024-11-21,22.81,Electronics,4
T000075,2fdcb8f2,2023-08-17,23.73,Electronics,4
T000076,435aeb9c,2022-08-08,42.58,Electronics,1
T000077,eab7c991,2024-10-08,134.34,Home Decor,2
T000078,777f2d6a,2023-10-17,16.92,Clothing,1
T000079,a8d99d5c,2022-02-16,24.07,Books,1
T000080,d79c9bf2,2024-10-25,24.19,Home Decor,1
T000081,65ddfd91,2025-01-17,45.69,Food,3
T000082,350f26ae,2025-03-28,21.89,Sports,1
T000083,1dcc9643,2022-08-21,52.32,Clothing,1
T000084,c6ed2150,2024-12-02,17.96,Electronics,2
T000085,ba63ea90,2024-07-24,11.24,Electronics,2
T000086,93c93dff,2025-04-08,15.88,Books,1
T000087,af8e103a,2024-07-05,57.67,Beauty,4
T000088,ee94e195,2024-09-30,44.27,Beauty,3
T000089,5f59570e,2025-04-09,59.25,Beauty,1
T000090,75835028,2021-07-15,76.59,Home Decor,3
T000091,c3edd50e,2023-10-18,54.18,Clothing,2
T000092,8a57f194,2023-01-03,29.47,Food,1
T000093,afe66994,2023-08-30,54.53,Clothing,1
T000094,f62ddbd5,2025-04-07,70.85,Books,2
T000095,8726c9cc,2022-06-26,71.68,Electronics,2
T000096,48fbb809,2024-02-20,22.15,Beauty,2
T000097,74fedd36,2025-03-09,44.36,Sports,2
T000098,4a165bcc,2024-03-29,20.49,Books,5
T000099,823a8777,2025-03-26,55.54,Food,1
T000100,8220fa10,2024-11-26,19.45,Books,2
T000101,4123fd26,2024-12-04,15.82,Sports,1
T000102,72aadf4b,2025-04-08,43.73,Books,2
T000103,55080b80,2024-12-20,6.23,Home Decor,1
T000104,07742ef7,2022-01-20,25.89,Electronics,1
T000105,4ac463c8,2024-04-08,50.68,Clothing,1
T000106,8775683e,2025-04-03,87.63,Beauty,2
T000107,c5cd8915,2024-12-26,15.31,Beauty,1
T000108,4de484fc,2025-03-30,48.29,Sports,1
T000109,54ba6919,2023-03-17,32.73,Home Decor,5
T000110,4d6ec1d2,2023-02-25,6.97,Sports,3
T000111,2813271b,2025-03-24,70.36,Beauty,2
T000112,e67ad426,2024-06-16,87.47,Clothing,1
T000113,4b3482bd,2024-03-21,5.0,Books,3
T000114,0a105743,2023-11-30,18.53,Beauty,3
T000115,044ba4b8,2023-09-28,14.48,Beauty,4
T000116,14e3e582,2025-04-04,160.64,Home Decor,1
T000117,983939a5,2025-02-07,58.68,Books,4
T000118,e9cb35ed,2025-02-08,10.12,Books,2
T000119,965ca6f7,2024-11-13,15.34,Home Decor,1
T000120,9be8ad1a,2024-11-14,38.86,Clothing,1
T000121,58cdfd3f,2024-04-13,10.8,Beauty,1
T000122,0bba0348,2025-02-09,15.99,Books,6
T000123,f6ca4e93,2025-04-02,67.99,Sports,2
T000124,1a30fed6,2023-07-30,58.2,Sports,3
T000125,92f82ba3,2024-02-24,9.73,Sports,1
T000126,91987a5b,2022-08-08,12.05,Food,1
T000127,ab54fad8,2024-05-17,12.08,Beauty,3
T000128,055d291b,2024-07-11,35.41,Electronics,4
T000129,9e9bbdaa,2021-08-28,11.47,Beauty,1
T000130,aa3b345f,2024-07-24,22.24,Sports,1
T000131,b5f24c5a,2024-08-29,69.92,Clothing,3
T000132,e24027e1,2023-10-24,17.01,Clothing,3
T000133,a55db17e,2024-07-06,6.47,Books,4
T000134,6aeff010,2024-05-28,26.64,Books,6
T000135,d810058a,2025-03-09,53.94,Beauty,3
T000136,c2baddce,2025-02-15,12.81,Clothing,2
T000137,a9920992,2023-11-11,71.25,Books,1
T000138,8e60e411,2021-07-12,35.91,Food,5
T000139,58ca2eec,2023-07-22,43.83,Sports,1
T000140,b971c227,2023-10-16,69.01,Food,2
T000141,eb164a83,2023-11-19,29.81,Food,1
T000142,23165a5e,2024-06-09,26.34,Food,1
T000143,001b5c26,2022-03-03,25.8,Home Decor,4
T000144,c5cd8915,2025-04-10,14.21,Beauty,5
T000145,5d7aae6f,2024-12-20,101.99,Sports,1
T000146,b03f3cf3,2024-09-05,92.28,Clothing,1
T000147,4921c51e,2023-10-02,14.11,Sports,3
T000148,15381d05,2024-09-17,18.78,Sports,3
T000149,73b4a8a9,2021-11-25,68.52,Sports,2
T000150,5dcdd63b,2025-02-20,61.89,Home Decor,3
T000151,0250db30,2025-03-16,35.09,Food,2
T000152,3eb337f9,2025-03-18,13.07,Food,1
T000153,5dcdd63b,2024-08-12,84.53,Books,4
T000154,578d1305,2024-05-04,58.65,Sports,1
T000155,686db390,2025-03-08,21.39,Sports,2
T000156,e0f99903,2023-09-10,23.11,Food,2
T000157,4123fd26,2024-09-12,14.68,Books,2
T000158,5f9eb94b,2023-12-19,34.03,Beauty,3
T000159,89004318,2025-01-26,14.97,Electronics,2
T000160,9699232c,2025-01-30,88.59,Beauty,1
T000161,c4414baf,2025-03-13,33.02,Books,4
T000162,c7a08359,2024-03-27,29.11,Electronics,4
T000163,17d95411,2025-03-18,63.56,Food,1
T000164,fab8fdb7,2024-12-08,26.04,Food,4
T000165,08d611ef,2024-06-13,11.2,Food,1
T000166,a4bdeef4,2024-09-08,30.09,Clothing,4
T000167,86dbdb03,2024-12-10,33.81,Sports,2
T000168,c6d5f480,2024-07-28,70.86,Books,3
T000169,261e7173,2021-09-30,8.41,Food,3
T000170,60b1d00c,2025-01-10,31.54,Beauty,2
T000171,32f419e4,2022-03-29,16.56,Electronics,1
T000172,8e60e411,2021-05-16,68.28,Books,4
T000173,6ed18d8b,2024-08-03,92.06,Food,2
T000174,3ebc212c,2020-10-24,12.58,Home Decor,1
T000175,5c009ae2,2025-02-18,67.39,Electronics,1
T000176,0717420a,2024-08-19,21.61,Food,1
T000177,af1c24a5,2025-04-10,118.63,Beauty,6
T000178,2923e361,2023-04-11,70.36,Sports,4
T000179,28a9a963,2025-01-16,18.89,Electronics,1
T000180,06ca7af6,2024-05-24,29.6,Beauty,6
T000181,c5e04abe,2023-09-25,7.69,Clothing,1
T000182,0a78a2b8,2024-11-01,58.79,Home Decor,2
T000183,e894289a,2021-03-02,48.84,Clothing,2
T000184,5be152a6,2024-12-24,29.25,Clothing,2
T000185,435cb663,2025-03-12,6.26,Electronics,6
T000186,92f82ba3,2024-01-04,6.01,Sports,1
T000187,39a24893,2025-02-09,39.26,Books,1
T000188,3267775a,2024-02-17,71.12,Home Decor,3
T000189,53a224b9,2024-11-08,23.38,Food,1
T000190,c77a496c,2024-05-30,35.93,Sports,1
T000191,e9cb35ed,2024-10-30,10.98,Beauty,1
T000192,cf12d9f1,2024-04-25,29.26,Home Decor,2
T000193,578d1305,2024-10-13,63.24,Books,4
T000194,a4bdeef4,2024-02-05,27.86,Clothing,3
T000195,258df59b,2024-05-23,37.61,Clothing,2
T000196,33020bae,2022-12-12,99.26,Electronics,3
T000197,ed82f1c5,2023-04-25,54.59,Books,3
T000198,8170b75b,2021-04-10,8.75,Beauty,2
T000199,f81829fa,2022-10-18,65.73,Books,2
T000200,1d2750bd,2021-12-16,22.5,Books,2
T000201,5646fecc,2023-08-20,34.87,Food,2
T000202,97f83da0,2025-03-13,64.81,Clothing,1
T000203,1ce00d75,2023-10-13,67.9,Sports,1
T000204,c1cadb2b,2022-10-04,48.27,Home Decor,2
T000205,a16123a1,2024-08-26,112.97,Clothing,1
T000206,9d303a3b,2023-07-30,80.25,Clothing,4
T000207,016844a1,2025-03-21,89.39,Clothing,6
T000208,435cb663,2025-03-17,11.95,Sports,2
T000209,1526d149,2025-01-07,25.01,Food,4
T000210,e2027a7d,2024-10-15,90.01,Electronics,1
T000211,5743ad9d,2025-02-11,16.7,Books,3
T000212,bd20895a,2024-12-16,35.84,Beauty,2
T000213,fa9a1df9,2025-01-31,21.28,Electronics,4
T000214,a51d01de,2024-11-24,25.69,Books,2
T000215,eddb3296,2024-07-26,41.72,Clothing,1
T000216,87a7765a,2024-07-24,29.16,Food,4
T000217,5a2559da,2025-04-06,35.94,Clothing,3
T000218,976e0f69,2025-01-15,53.5,Home Decor,2
T000219,001f14f4,2025-02-22,28.49,Home Decor,2
T000220,25c808d6,2022-03-13,6.68,Clothing,3
T000221,a70fb7fc,2025-01-10,38.03,Home Decor,1
T000222,d8391a10,2024-09-08,54.6,Clothing,4
T000223,c7be4e87,2024-01-15,66.98,Sports,1
T000224,14a90d35,2023-10-28,20.49,Electronics,3
T000225,dfaa92ab,2025-01-27,30.42,Home Decor,2
T000226,089175a9,2024-10-28,14.72,Sports,1
T000227,26871545,2022-09-10,19.0,Electronics,1
T000228,91987a5b,2023-05-20,20.03,Electronics,1
T000229,305bbbea,2025-03-30,31.4,Books,3
T000230,90e726e0,2021-07-19,42.44,Books,1
T000231,6c073435,2025-02-07,10.96,Electronics,1
T000232,664ccc7d,2024-10-26,101.54,Electronics,1
T000233,636a4b9d,2024-12-08,14.88,Food,2
T000234,fc9dd92e,2022-10-24,31.28,Books,3
T000235,bd445796,2023-03-12,50.32,Electronics,1
T000236,9f7d15b5,2023-03-06,67.15,Food,6
T000237,5304bd65,2023-04-05,104.73,Clothing,3
T000238,4b3482bd,2023-07-10,12.14,Home Decor,2
T000239,48fbb809,2023-11-11,49.97,Sports,2
T000240,bbede70e,2024-06-15,14.1,Clothing,3
T000241,96b96046,2022-03-20,86.0,Books,2
T000242,64ebddd2,2024-06-19,38.39,Beauty,1
T000243,020158dd,2022-07-10,97.07,Beauty,3
T000244,e2263d4f,2025-01-22,12.76,Electronics,2
T000245,c3edd50e,2023-02-19,47.55,Clothing,1
T000246,b3f6251a,2025-01-14,7.83,Home Decor,2
T000247,d79608aa,2025-01-18,11.58,Beauty,1
T000248,c783ff3f,2025-04-04,24.84,Electronics,2
T000249,d740e34a,2025-04-08,17.52,Sports,2
T000250,97f83da0,2025-03-26,72.15,Home Decor,1
T000251,5459df6e,2024-04-26,88.25,Electronics,2
T000252,3267775a,2022-05-20,36.2,Home Decor,3
T000253,cd3efdf4,2024-09-15,22.51,Home Decor,1
T000254,a70c2d67,2023-12-15,54.18,Home Decor,1
T000255,f546262a,2023-10-07,11.03,Beauty,1
T000256,26871545,2023-03-16,25.8,Sports,4
T000257,3774b3b0,2023-07-15,11.5,Books,2
T000258,177ac3f6,2023-08-29,5.0,Home Decor,1
T000259,347528f9,2022-03-06,17.83,Books,2
T000260,210ee93a,2023-12-16,42.85,Electronics,1
T000261,3311e5d2,2024-12-08,15.35,Home Decor,4
T000262,58ca2eec,2023-07-22,29.32,Sports,4
T000263,6b6b0425,2023-04-14,17.08,Books,1
T000264,1dcc9643,2022-04-30,36.89,Clothing,1
T000265,797d805c,2024-12-07,22.65,Clothing,1
T000266,2eb599da,2023-12-22,14.52,Home Decor,1
T000267,3c3e1348,2024-07-26,12.86,Sports,1
T000268,eabbd2b7,2025-01-29,13.36,Food,2
T000269,89004318,2025-04-05,20.47,Home Decor,1
T000270,848d7121,2024-07-20,18.73,Food,2
T000271,18fec8ab,2024-10-11,83.49,Beauty,2
T000272,f673631c,2024-07-29,66.02,Food,3
T000273,8220fa10,2023-10-30,12.42,Clothing,1
T000274,31e301b4,2024-09-30,71.08,Beauty,1
T000275,4029276c,2023-01-13,47.97,Clothing,2
T000276,7217b16a,2024-10-20,56.56,Electronics,3
T000277,931ec19a,2024-02-26,33.4,Sports,2
T000278,435cb663,2025-03-31,9.97,Beauty,1
T000279,024aa3de,2025-01-22,74.96,Beauty,4
T000280,983939a5,2025-03-20,56.68,Clothing,2
T000281,4ad10622,2023-02-26,32.54,Books,4
T000282,5d46ff27,2022-04-24,27.09,Home Decor,2
T000283,240f16d9,2023-07-16,74.03,Food,1
T000284,1f72b473,2024-10-24,97.85,Beauty,1
T000285,00da5470,2024-09-23,10.46,Home Decor,3
T000286,073ff141,2024-03-07,70.78,Clothing,1
T000287,a4d884b0,2023-03-07,80.03,Books,5
T000288,dc80d8f4,2022-10-29,57.21,Electronics,6
T000289,643c2c04,2023-12-28,13.78,Sports,2
T000290,5d46ff27,2023-05-15,34.63,Beauty,4
T000291,5d7aae6f,2024-06-14,71.87,Clothing,1
T000292,f51a0cfe,2023-03-26,40.58,Electronics,2
T000293,2893b6c2,2022-08-22,45.37,Home Decor,2
T000294,afe66994,2023-09-15,92.37,Food,1
T000295,4890502e,2024-06-20,49.52,Food,1
T000296,017f0adf,2024-07-26,62.52,Food,4
T000297,94dc73b7,2024-12-16,24.12,Books,1
T000298,5d46ff27,2023-12-03,42.17,Beauty,1
T000299,a4aeee5c,2022-05-14,50.26,Clothing,2
T000300,91987a5b,2023-06-01,9.22,Books,1
T000301,d1b21591,2022-08-31,23.63,Sports,5
T000302,931ec19a,2025-02-06,12.05,Sports,1
T000303,448aa434,2025-04-01,42.68,Clothing,3
T000304,f3369897,2025-02-11,30.58,Food,5
T000305,8b6ad83f,2024-08-09,64.05,Clothing,1
T000306,3ebc212c,2024-02-08,7.46,Food,3
T000307,63f893e0,2023-04-14,98.71,Home Decor,2
T000308,1aaccc69,2023-10-31,18.03,Beauty,1
T000309,3a2e65e8,2024-08-03,19.57,Home Decor,1
T000310,312be7fc,2020-10-01,22.84,Electronics,1
T000311,a33f3ea1,2024-10-08,34.25,Electronics,1
T000312,64ebddd2,2024-08-21,39.98,Beauty,1
T000313,b03f3cf3,2025-02-06,58.51,Home Decor,2
T000314,2ca9fb30,2024-09-19,26.13,Home Decor,2
T000315,84d6893b,2024-05-22,19.29,Sports,2
T000316,d735a9ac,2024-01-23,61.64,Clothing,6
T000317,18fec8ab,2024-05-15,104.27,Food,1
T000318,bd66c34d,2024-02-19,77.06,Books,3
T000319,e4231694,2025-04-10,18.66,Food,1
T000320,095c5a16,2021-11-04,7.26,Books,1
T000321,d66463ae,2024-09-28,20.57,Food,1
T000322,bd5753ec,2024-09-27,17.91,Clothing,1
T000323,a4aeee5c,2022-12-29,97.81,Books,4
T000324,a2a4bfc4,2024-09-01,22.64,Beauty,1
T000325,86560c9d,2025-03-20,24.08,Food,4
T000326,eb3cbd46,2025-02-15,123.09,Food,3
T000327,6fe976ac,2024-06-14,17.75,Electronics,2
T000328,dc068fb6,2024-02-11,40.57,Clothing,1
T000329,db033fbd,2021-12-04,23.99,Sports,1
T000330,9dd2da9c,2025-03-10,10.15,Sports,5
T000331,60cfe858,2022-08-17,53.03,Beauty,1
T000332,ab11f37f,2023-10-18,15.87,Books,1
T000333,0a78a2b8,2023-08-09,81.34,Clothing,3
T000334,fa3c0d2c,2024-02-10,16.81,Food,2
T000335,8029d865,2024-05-28,15.9,Sports,1
T000336,3c3e1348,2024-03-30,9.82,Home Decor,4
T000337,f27cc3c5,2024-07-10,35.84,Food,7
T000338,27cc5ee5,2023-07-13,60.96,Beauty,1
T000339,b6ab1f70,2024-08-01,14.13,Books,1
T000340,f3369897,2023-08-31,31.61,Clothing,5
T000341,ac3b15f6,2023-08-21,12.18,Home Decor,3
T000342,e9f9f8bc,2023-10-16,43.8,Beauty,3
T000343,64b31aec,2025-02-15,86.43,Sports,5
T000344,53a224b9,2024-09-14,20.87,Clothing,2
T000345,38dae4ff,2024-05-23,76.28,Food,1
T000346,2ca9fb30,2023-08-03,30.85,Sports,1
T000347,29db4b5e,2024-08-08,16.3,Home Decor,2
T000348,7b9a46b6,2024-10-20,7.53,Beauty,1
T000349,a0f3bb7a,2023-11-05,39.93,Food,1
T000350,8775683e,2024-03-25,87.55,Books,2
T000351,52adb129,2024-11-28,67.2,Sports,1
T000352,93c93dff,2025-03-20,19.74,Food,1
T000353,9f7d15b5,2025-03-20,47.73,Sports,2
T000354,e986898a,2024-08-10,8.32,Beauty,1
T000355,fa9a1df9,2024-09-03,30.12,Beauty,3
T000356,9c5e259b,2021-02-07,13.08,Electronics,2
T000357,a1c75480,2025-03-29,18.06,Electronics,4
T000358,e597ef30,2022-11-19,23.49,Books,4
T000359,12ef1a34,2025-02-26,25.76,Food,1
T000360,af62832c,2025-02-13,39.25,Beauty,3
T000361,4cddffde,2024-04-06,38.46,Home Decor,1
T000362,32dfd2c4,2021-11-13,78.76,Electronics,3
T000363,04605ed5,2025-03-14,29.15,Beauty,2
T000364,760f2940,2023-12-31,19.26,Electronics,1
T000365,a8d99d5c,2021-02-04,38.48,Clothing,1
T000366,ef8a4579,2024-04-16,88.3,Books,3
T000367,0c84b273,2025-04-05,56.07,Beauty,1
T000368,da1071e3,2022-11-12,59.9,Beauty,8
T000369,82e9f0f1,2024-01-20,7.5,Sports,1
T000370,bac26ddd,2023-07-09,20.77,Books,2
T000371,f1134c4d,2024-06-22,38.65,Sports,1
T000372,22560acf,2024-07-14,15.66,Home Decor,3
T000373,c702035c,2025-01-18,93.39,Electronics,3
T000374,0556baa4,2023-09-21,20.81,Electronics,1
T000375,0e2ced04,2022-10-07,15.96,Books,1
T000376,33c7ce32,2024-06-09,18.32,Clothing,2
T000377,6c073435,2024-07-05,21.13,Home Decor,1
T000378,9776cad9,2023-12-19,45.66,Sports,3
T000379,14bfc588,2024-10-07,31.62,Clothing,2
T000380,a33f3ea1,2021-07-14,30.83,Home Decor,3
T000381,ca14cdfd,2025-02-25,29.51,Electronics,1
T000382,d0adebe7,2025-01-03,15.17,Beauty,1
T000383,9b13d416,2024-11-13,12.04,Books,2
T000384,c7be4e87,2023-08-27,32.02,Home Decor,1
T000385,06f243a1,2025-03-09,20.4,Books,3
T000386,bb79ecc6,2023-11-05,84.53,Sports,2
T000387,e068bcee,2023-01-06,27.67,Books,2
T000388,91532d30,2025-01-27,72.46,Sports,4
T000389,210ee93a,2024-02-05,108.69,Books,4
T000390,fec43f9e,2023-03-03,115.31,Food,2
T000391,999247a9,2025-01-25,46.37,Sports,1
T000392,11a88d74,2024-11-07,25.72,Sports,1
T000393,4136e257,2023-03-25,10.54,Sports,3
T000394,354a0d0e,2022-09-19,19.95,Electronics,2
T000395,4f374deb,2023-08-14,20.24,Clothing,3
T000396,f7396573,2023-03-23,14.9,Sports,1
T000397,86e40349,2022-02-01,5.35,Home Decor,2
T000398,5c009ae2,2024-06-25,72.7,Electronics,3
T000399,432aba84,2022-06-21,11.21,Food,1
T000400,e376023e,2025-01-21,45.45,Books,1
T000401,a873d1d3,2024-03-08,51.09,Food,1
T000402,2ff1f848,2024-03-17,8.85,Electronics,2
T000403,2c4853f1,2023-02-01,35.89,Books,1
T000404,438acf94,2024-06-13,37.24,Books,3
T000405,f2440977,2022-11-12,68.19,Home Decor,2
T000406,f7a56e1f,2025-02-13,45.47,Beauty,2
T000407,ca4663be,2025-04-09,5.0,Food,4
T000408,33be1de8,2025-03-02,51.34,Home Decor,2
T000409,64e1758b,2022-09-17,49.55,Books,3
T000410,d8d0e018,2025-03-10,12.07,Sports,1
T000411,0233ca10,2024-01-24,44.42,Home Decor,3
T000412,916e6cc1,2023-12-30,44.29,Beauty,4
T000413,1fc6e17c,2023-06-13,37.64,Sports,2
T000414,8e02c170,2024-10-07,20.79,Sports,1
T000415,10168fa6,2023-10-26,29.02,Electronics,3
T000416,ec6b6f21,2023-09-14,5.8,Books,3
T000417,d350e4bf,2023-09-05,13.67,Books,3
T000418,ec6b6f21,2024-04-23,12.03,Food,1
T000419,991fe935,2023-06-01,89.98,Electronics,1
T000420,8cc0e21f,2022-09-30,60.19,Books,3
T000421,056c1016,2024-08-31,92.57,Home Decor,1
T000422,5b1c6718,2024-11-11,38.72,Beauty,1
T000423,efb76cd2,2023-04-07,20.37,Beauty,4
T000424,4de484fc,2025-04-04,29.08,Sports,2
T000425,c6d5f480,2023-09-25,64.67,Home Decor,1
T000426,dc340cce,2023-05-06,14.26,Home Decor,1
T000427,747fb22b,2022-09-08,23.6,Food,3
T000428,89f298a6,2022-02-15,9.65,Home Decor,2
T000429,66ce9c5a,2025-03-16,84.85,Sports,1
T000430,8faee8c8,2025-02-13,22.37,Clothing,3
T000431,636a4b9d,2024-11-26,14.26,Home Decor,3
T000432,e854b3dc,2021-01-25,48.79,Electronics,2
T000433,9c589cf1,2024-03-13,13.84,Books,1
T000434,a625c3d8,2022-03-29,18.5,Clothing,3
T000435,88a25f89,2024-05-27,10.69,Food,8
T000436,398e5cd3,2023-07-09,6.68,Food,2
T000437,cbf9724a,2025-02-09,16.48,Books,2
T000438,664ccc7d,2022-08-05,50.43,Books,2
T000439,5371a919,2025-04-07,44.98,Sports,1
T000440,4f6893ac,2022-11-03,11.2,Sports,2
T000441,acff186f,2024-08-27,41.53,Home Decor,1
T000442,4e0b4511,2024-12-12,25.22,Food,1
T000443,efb76cd2,2023-02-08,16.22,Beauty,4
T000444,4a2e4eda,2024-10-26,22.06,Sports,3
T000445,31bbd769,2021-11-04,18.53,Home Decor,2
T000446,6db77f50,2025-03-28,19.69,Electronics,1
T000447,9094e727,2023-03-04,13.08,Beauty,1
T000448,c85d55f3,2021-08-22,37.73,Home Decor,3
T000449,1e51cbd6,2025-03-04,34.44,Food,2
T000450,26871545,2024-12-20,45.75,Beauty,1
T000451,3b480550,2024-04-13,47.39,Food,3
T000452,4f374deb,2024-03-05,31.42,Books,4
T000453,1d2750bd,2022-10-16,6.37,Beauty,1
T000454,eb164a83,2024-11-14,34.55,Electronics,2
T000455,5d46ff27,2024-01-15,31.94,Sports,1
T000456,ab54fad8,2025-03-07,10.51,Food,1
T000457,175c4d1a,2022-10-17,18.15,Sports,2
T000458,0f9fea28,2024-05-13,15.42,Electronics,2
T000459,916e6cc1,2022-10-04,43.99,Food,1
T000460,babccc86,2024-02-23,24.51,Books,1
T000461,afe66994,2024-07-18,18.0,Beauty,1
T000462,b3d91d5f,2025-04-06,22.97,Beauty,1
T000463,a0f3bb7a,2021-02-03,64.28,Food,1
T000464,fa3c0d2c,2023-07-10,16.25,Books,2
T000465,1dc5ade4,2024-03-13,37.77,Food,2
T000466,e9c3403c,2024-11-25,42.79,Books,5
T000467,6b741b0d,2025-03-18,95.66,Home Decor,1
T000468,965ca6f7,2024-04-30,5.67,Sports,2
T000469,b4f74298,2024-03-07,38.7,Clothing,2
T000470,663658ea,2023-12-22,7.76,Electronics,3
T000471,e9aa4e0b,2023-07-07,15.41,Home Decor,1
T000472,afcf1444,2024-10-17,22.34,Electronics,2
T000473,e1248ec7,2023-01-10,98.03,Clothing,3
T000474,67ec5e45,2024-10-30,75.61,Beauty,4
T000475,5f9eb94b,2024-10-24,10.07,Sports,1
T000476,d371b840,2025-02-28,17.06,Electronics,3
T000477,07742ef7,2024-01-18,89.73,Books,1
T000478,5f59570e,2025-03-25,35.38,Food,1
T000479,212a07a7,2024-07-13,10.76,Beauty,1
T000480,39618324,2024-06-21,15.52,Food,3
T000481,5f4f3aec,2024-12-07,34.9,Clothing,2
T000482,1a7f753e,2024-11-09,56.82,Food,4
T000483,820c59d7,2024-11-10,18.92,Home Decor,2
T000484,a143fa34,2024-12-31,20.97,Books,3
T000485,6a5a38e8,2024-10-27,11.82,Electronics,1
T000486,c1f0b5d8,2023-01-21,17.09,Clothing,1
T000487,fa6ab058,2024-02-17,66.31,Electronics,1
T000488,91987a5b,2023-09-05,13.32,Food,3
T000489,7120b011,2024-01-04,14.4,Clothing,1
T000490,48f8afbd,2020-08-11,112.48,Electronics,3
T000491,f5cc0c0b,2023-10-11,16.05,Electronics,1
T000492,8cc0e21f,2022-09-27,12.53,Sports,3
T000493,9c5e259b,2022-06-22,49.55,Sports,2
T000494,ded967c9,2024-03-24,20.23,Electronics,2
T000495,e9cb35ed,2024-10-27,15.81,Sports,5
T000496,52717257,2022-07-09,6.61,Food,3
T000497,b3aee377,2024-07-10,48.46,Books,2
T000498,a33f3ea1,2021-10-02,37.57,Clothing,1
T000499,b9f21877,2024-09-08,45.98,Clothing,1
